term,definition,domain
plan view,"A architecture term meaning plan görünüşü, used in site, drawing, installation or coordination contexts.",architecture
elevation drawing,"A architecture term meaning cephe çizimi, used in site, drawing, installation or coordination contexts.",architecture
section drawing,"A architecture term meaning kesit çizimi, used in site, drawing, installation or coordination contexts.",architecture
detail drawing (architecture),"A architecture term meaning detay çizimi (mimari), used in site, drawing, installation or coordination contexts.",architecture
working drawing,"A architecture term meaning uygulama çizimi, used in site, drawing, installation or coordination contexts.",architecture
as-built drawing (architecture),"A architecture term meaning yapıldığı gibi çizim, used in site, drawing, installation or coordination contexts.",architecture
reflected ceiling plan,"A architecture term meaning yansıtılmış tavan planı, used in site, drawing, installation or coordination contexts.",architecture
furniture layout plan,"A architecture term meaning mobilya yerleşim planı, used in site, drawing, installation or coordination contexts.",architecture
scale drawing,"A architecture term meaning ölçekli çizim, used in site, drawing, installation or coordination contexts.",architecture
3D model (architecture),"A architecture term meaning 3 boyutlu model, used in site, drawing, installation or coordination contexts.",architecture
rendering (architecture),"A architecture term meaning render / görselleştirme, used in site, drawing, installation or coordination contexts.",architecture
BIM model,"A architecture term meaning BIM modeli, used in site, drawing, installation or coordination contexts.",architecture
construction documents,"A architecture term meaning uygulama proje dosyası, used in site, drawing, installation or coordination contexts.",architecture
specification (architecture),"A architecture term meaning şartname (mimari), used in site, drawing, installation or coordination contexts.",architecture
finish schedule,"A architecture term meaning malzeme/kaplama listesi, used in site, drawing, installation or coordination contexts.",architecture
window schedule,"A architecture term meaning pencere listesi, used in site, drawing, installation or coordination contexts.",architecture
presentation drawing,"A architecture term meaning sunum çizimi, used in site, drawing, installation or coordination contexts.",architecture
design drawing register,"A architecture term meaning tasarım çizim kayıt listesi, used in site, drawing, installation or coordination contexts.",architecture
green building,"A architecture term meaning yeşil bina, used in site, drawing, installation or coordination contexts.",architecture
LEED certification,"A architecture term meaning LEED sertifikası, used in site, drawing, installation or coordination contexts.",architecture
BREEAM certification,"A architecture term meaning BREEAM sertifikası, used in site, drawing, installation or coordination contexts.",architecture
energy efficient design,"A architecture term meaning enerji verimli tasarım, used in site, drawing, installation or coordination contexts.",architecture
passive design,"A architecture term meaning pasif tasarım, used in site, drawing, installation or coordination contexts.",architecture
solar shading,"A architecture term meaning güneş kırıcı, used in site, drawing, installation or coordination contexts.",architecture
daylighting,"A architecture term meaning gün ışığından yararlanma, used in site, drawing, installation or coordination contexts.",architecture
natural ventilation,"A architecture term meaning doğal havalandırma, used in site, drawing, installation or coordination contexts.",architecture
green roof,"A architecture term meaning yeşil çatı, used in site, drawing, installation or coordination contexts.",architecture
rainwater harvesting,"A architecture term meaning yağmur suyu toplama, used in site, drawing, installation or coordination contexts.",architecture
sustainable material,"A architecture term meaning sürdürülebilir malzeme, used in site, drawing, installation or coordination contexts.",architecture
carbon neutral building,"A architecture term meaning karbon nötr bina, used in site, drawing, installation or coordination contexts.",architecture
thermal mass,"A architecture term meaning termal kütle, used in site, drawing, installation or coordination contexts.",architecture
embodied carbon,"A architecture term meaning gömülü karbon, used in site, drawing, installation or coordination contexts.",architecture
building envelope performance,"A architecture term meaning bina kabuğu performansı, used in site, drawing, installation or coordination contexts.",architecture
biophilic design,"A architecture term meaning biyofilik tasarım, used in site, drawing, installation or coordination contexts.",architecture
interior design,"A architecture term meaning iç mimari, used in site, drawing, installation or coordination contexts.",architecture
interior designer,"A architecture term meaning iç mimar, used in site, drawing, installation or coordination contexts.",architecture
furniture,"A architecture term meaning mobilya, used in site, drawing, installation or coordination contexts.",architecture
fixture (interior),"A architecture term meaning sabit donanım, used in site, drawing, installation or coordination contexts.",architecture
fittings (interior),"A architecture term meaning aksesuar / donanım, used in site, drawing, installation or coordination contexts.",architecture
color scheme,"A architecture term meaning renk şeması, used in site, drawing, installation or coordination contexts.",architecture
mood board,"A architecture term meaning ilham panosu, used in site, drawing, installation or coordination contexts.",architecture
loose furniture,"A architecture term meaning hareketli mobilya, used in site, drawing, installation or coordination contexts.",architecture
built-in furniture,"A architecture term meaning gömme mobilya, used in site, drawing, installation or coordination contexts.",architecture
joinery,"A architecture term meaning marangozluk / doğrama işleri, used in site, drawing, installation or coordination contexts.",architecture
upholstery,"A architecture term meaning döşemecilik, used in site, drawing, installation or coordination contexts.",architecture
textile (interior),"A architecture term meaning tekstil (iç mekan), used in site, drawing, installation or coordination contexts.",architecture
interior partition,"A architecture term meaning iç bölme duvarı, used in site, drawing, installation or coordination contexts.",architecture
reception desk,"A architecture term meaning resepsiyon bankosu, used in site, drawing, installation or coordination contexts.",architecture
kitchen layout,"A architecture term meaning mutfak yerleşimi, used in site, drawing, installation or coordination contexts.",architecture
bathroom layout,"A architecture term meaning banyo yerleşimi, used in site, drawing, installation or coordination contexts.",architecture
interior finishing works,"A architecture term meaning iç mekan bitirme işleri, used in site, drawing, installation or coordination contexts.",architecture
custom joinery,"A architecture term meaning özel imalat doğrama, used in site, drawing, installation or coordination contexts.",architecture
landscape design,"A architecture term meaning peyzaj tasarımı, used in site, drawing, installation or coordination contexts.",architecture
landscape architect,"A architecture term meaning peyzaj mimarı, used in site, drawing, installation or coordination contexts.",architecture
hardscape,"A architecture term meaning sert zemin peyzajı, used in site, drawing, installation or coordination contexts.",architecture
softscape,"A architecture term meaning yumuşak (bitkisel) peyzaj, used in site, drawing, installation or coordination contexts.",architecture
planting plan,"A architecture term meaning bitkilendirme planı, used in site, drawing, installation or coordination contexts.",architecture
irrigation system (landscape),"A architecture term meaning sulama sistemi (peyzaj), used in site, drawing, installation or coordination contexts.",architecture
paving (landscape),"A architecture term meaning zemin döşemesi (dış), used in site, drawing, installation or coordination contexts.",architecture
outdoor seating,"A architecture term meaning dış mekan oturma alanı, used in site, drawing, installation or coordination contexts.",architecture
courtyard,"A architecture term meaning avlu, used in site, drawing, installation or coordination contexts.",architecture
water feature,"A architecture term meaning su öğesi, used in site, drawing, installation or coordination contexts.",architecture
green space,"A architecture term meaning yeşil alan, used in site, drawing, installation or coordination contexts.",architecture
public plaza,"A architecture term meaning kamusal meydan, used in site, drawing, installation or coordination contexts.",architecture
street furniture,"A architecture term meaning kent mobilyası, used in site, drawing, installation or coordination contexts.",architecture
tree grate,"A architecture term meaning ağaç ızgarası, used in site, drawing, installation or coordination contexts.",architecture
retaining wall (landscape),"A architecture term meaning istinat duvarı (peyzaj), used in site, drawing, installation or coordination contexts.",architecture
urban design,"A architecture term meaning kentsel tasarım, used in site, drawing, installation or coordination contexts.",architecture
urban planning,"A architecture term meaning şehir planlama, used in site, drawing, installation or coordination contexts.",architecture
master plan,"A architecture term meaning master plan / nazım plan, used in site, drawing, installation or coordination contexts.",architecture
zoning regulation,"A architecture term meaning imar yönetmeliği, used in site, drawing, installation or coordination contexts.",architecture
plot ratio,"A architecture term meaning emsal (imar), used in site, drawing, installation or coordination contexts.",architecture
floor area ratio,"A architecture term meaning kat alanı katsayısı, used in site, drawing, installation or coordination contexts.",architecture
building setback,"A architecture term meaning yapı çekme mesafesi, used in site, drawing, installation or coordination contexts.",architecture
density (urban),"A architecture term meaning yoğunluk (kentsel), used in site, drawing, installation or coordination contexts.",architecture
mixed-use development,"A architecture term meaning karma kullanımlı gelişim, used in site, drawing, installation or coordination contexts.",architecture
public realm,"A architecture term meaning kamusal alan, used in site, drawing, installation or coordination contexts.",architecture
streetscape,"A architecture term meaning sokak silüeti / dokusu, used in site, drawing, installation or coordination contexts.",architecture
urban regeneration,"A architecture term meaning kentsel dönüşüm, used in site, drawing, installation or coordination contexts.",architecture
transit-oriented development,"A architecture term meaning toplu taşıma odaklı gelişim, used in site, drawing, installation or coordination contexts.",architecture
wheelchair ramp,"A architecture term meaning tekerlekli sandalye rampası, used in site, drawing, installation or coordination contexts.",architecture
accessible toilet,"A architecture term meaning erişilebilir tuvalet, used in site, drawing, installation or coordination contexts.",architecture
universal design,"A architecture term meaning evrensel tasarım, used in site, drawing, installation or coordination contexts.",architecture
tactile paving,"A architecture term meaning kabartmalı yürüme yüzeyi, used in site, drawing, installation or coordination contexts.",architecture
accessible route,"A architecture term meaning erişilebilir güzergah, used in site, drawing, installation or coordination contexts.",architecture
handrail,"A architecture term meaning korkuluk / tutamak, used in site, drawing, installation or coordination contexts.",architecture
grab bar,"A architecture term meaning tutunma barı, used in site, drawing, installation or coordination contexts.",architecture
clear floor space,"A architecture term meaning serbest zemin alanı, used in site, drawing, installation or coordination contexts.",architecture
accessible parking space,"A architecture term meaning engelli otopark alanı, used in site, drawing, installation or coordination contexts.",architecture
visual accessibility,"A architecture term meaning görsel erişilebilirlik, used in site, drawing, installation or coordination contexts.",architecture
lighting design,"A architecture term meaning aydınlatma tasarımı, used in site, drawing, installation or coordination contexts.",architecture
ambient lighting,"A architecture term meaning genel aydınlatma, used in site, drawing, installation or coordination contexts.",architecture
task lighting,"A architecture term meaning görev aydınlatması, used in site, drawing, installation or coordination contexts.",architecture
accent lighting,"A architecture term meaning vurgu aydınlatması, used in site, drawing, installation or coordination contexts.",architecture
natural light,"A architecture term meaning doğal ışık, used in site, drawing, installation or coordination contexts.",architecture
artificial lighting,"A architecture term meaning yapay aydınlatma, used in site, drawing, installation or coordination contexts.",architecture
light fixture,"A architecture term meaning aydınlatma armatürü, used in site, drawing, installation or coordination contexts.",architecture
recessed lighting,"A architecture term meaning gömme aydınlatma, used in site, drawing, installation or coordination contexts.",architecture
pendant light,"A architecture term meaning sarkıt aydınlatma, used in site, drawing, installation or coordination contexts.",architecture
lux level,"A architecture term meaning lüks seviyesi, used in site, drawing, installation or coordination contexts.",architecture
daylight factor,"A architecture term meaning gün ışığı faktörü, used in site, drawing, installation or coordination contexts.",architecture
glare control,"A architecture term meaning kamaşma kontrolü, used in site, drawing, installation or coordination contexts.",architecture
acoustic design,"A architecture term meaning akustik tasarım, used in site, drawing, installation or coordination contexts.",architecture
sound insulation,"A architecture term meaning ses yalıtımı, used in site, drawing, installation or coordination contexts.",architecture
reverberation time,"A architecture term meaning çınlama süresi, used in site, drawing, installation or coordination contexts.",architecture
acoustic ceiling,"A architecture term meaning akustik tavan, used in site, drawing, installation or coordination contexts.",architecture
noise control (architecture),"A architecture term meaning gürültü kontrolü (mimari), used in site, drawing, installation or coordination contexts.",architecture
sound absorption,"A architecture term meaning ses emilimi, used in site, drawing, installation or coordination contexts.",architecture
acoustic partition,"A architecture term meaning akustik bölme, used in site, drawing, installation or coordination contexts.",architecture
heritage building,"A architecture term meaning tarihi yapı, used in site, drawing, installation or coordination contexts.",architecture
conservation (architecture),"A architecture term meaning koruma (mimari), used in site, drawing, installation or coordination contexts.",architecture
restoration (architecture),"A architecture term meaning restorasyon, used in site, drawing, installation or coordination contexts.",architecture
listed building,"A architecture term meaning korunması gereken yapı, used in site, drawing, installation or coordination contexts.",architecture
adaptive reuse,"A architecture term meaning yeniden işlevlendirme, used in site, drawing, installation or coordination contexts.",architecture
historic facade,"A architecture term meaning tarihi cephe, used in site, drawing, installation or coordination contexts.",architecture
preservation (heritage),"A architecture term meaning koruma / muhafaza, used in site, drawing, installation or coordination contexts.",architecture
period building,"A architecture term meaning dönem binası, used in site, drawing, installation or coordination contexts.",architecture
feasibility study,"A architecture term meaning fizibilite çalışması, used in site, drawing, installation or coordination contexts.",architecture
client brief,"A architecture term meaning müşteri istek listesi, used in site, drawing, installation or coordination contexts.",architecture
design review,"A architecture term meaning tasarım incelemesi, used in site, drawing, installation or coordination contexts.",architecture
planning permission,"A architecture term meaning imar izni, used in site, drawing, installation or coordination contexts.",architecture
building permit,"A architecture term meaning yapı ruhsatı, used in site, drawing, installation or coordination contexts.",architecture
architectural competition,"A architecture term meaning mimari yarışma, used in site, drawing, installation or coordination contexts.",architecture
project stakeholder,"A architecture term meaning proje paydaşı, used in site, drawing, installation or coordination contexts.",architecture
design team,"A architecture term meaning tasarım ekibi, used in site, drawing, installation or coordination contexts.",architecture
consultant (architecture),"A architecture term meaning danışman (mimari), used in site, drawing, installation or coordination contexts.",architecture
value engineering (architecture),"A architecture term meaning değer mühendisliği, used in site, drawing, installation or coordination contexts.",architecture
design coordination,"A architecture term meaning tasarım koordinasyonu, used in site, drawing, installation or coordination contexts.",architecture
clash detection,"A architecture term meaning çakışma tespiti, used in site, drawing, installation or coordination contexts.",architecture
handover (architecture),"A architecture term meaning teslim (mimari), used in site, drawing, installation or coordination contexts.",architecture
post-occupancy evaluation,"A architecture term meaning kullanım sonrası değerlendirme, used in site, drawing, installation or coordination contexts.",architecture
curtain wall,"A architecture term meaning giydirme cephe, used in site, drawing, installation or coordination contexts.",architecture
glazing (facade),"A architecture term meaning camlama, used in site, drawing, installation or coordination contexts.",architecture
double-glazed window,"A architecture term meaning çift camlı pencere, used in site, drawing, installation or coordination contexts.",architecture
mullion,"A architecture term meaning pencere/cephe dikmesi, used in site, drawing, installation or coordination contexts.",architecture
transom,"A architecture term meaning pencere/cephe yatayı, used in site, drawing, installation or coordination contexts.",architecture
brise-soleil,"A architecture term meaning güneş kırıcı (brise-soleil), used in site, drawing, installation or coordination contexts.",architecture
rainscreen cladding,"A architecture term meaning yağmur perdeli cephe kaplaması, used in site, drawing, installation or coordination contexts.",architecture
facade panel,"A architecture term meaning cephe paneli, used in site, drawing, installation or coordination contexts.",architecture
parapet,"A architecture term meaning korkuluk duvarı / parapet, used in site, drawing, installation or coordination contexts.",architecture
building skin,"A architecture term meaning bina kabuğu, used in site, drawing, installation or coordination contexts.",architecture
shading device,"A architecture term meaning gölgeleme elemanı, used in site, drawing, installation or coordination contexts.",architecture
fire escape,"A architecture term meaning yangın kaçış merdiveni, used in site, drawing, installation or coordination contexts.",architecture
fire exit,"A architecture term meaning yangın çıkışı, used in site, drawing, installation or coordination contexts.",architecture
fire compartmentation,"A architecture term meaning yangın bölmelendirmesi, used in site, drawing, installation or coordination contexts.",architecture
fire rated door,"A architecture term meaning yangına dayanıklı kapı, used in site, drawing, installation or coordination contexts.",architecture
emergency evacuation route,"A architecture term meaning acil tahliye güzergahı, used in site, drawing, installation or coordination contexts.",architecture
smoke barrier,"A architecture term meaning duman bariyeri, used in site, drawing, installation or coordination contexts.",architecture
means of escape,"A architecture term meaning kaçış yolu, used in site, drawing, installation or coordination contexts.",architecture
refuge area,"A architecture term meaning sığınma alanı, used in site, drawing, installation or coordination contexts.",architecture
signage,"A architecture term meaning tabela / yönlendirme, used in site, drawing, installation or coordination contexts.",architecture
directional sign,"A architecture term meaning yönlendirme tabelası, used in site, drawing, installation or coordination contexts.",architecture
pictogram,"A architecture term meaning piktogram, used in site, drawing, installation or coordination contexts.",architecture
building identification sign,"A architecture term meaning bina tanıtım tabelası, used in site, drawing, installation or coordination contexts.",architecture
terrace,"A architecture term meaning teras, used in site, drawing, installation or coordination contexts.",architecture
roof,"A architecture term meaning çatı, used in site, drawing, installation or coordination contexts.",architecture
mezzanine,"A architecture term meaning ara kat, used in site, drawing, installation or coordination contexts.",architecture
atrium,"A architecture term meaning atrium / iç avlu, used in site, drawing, installation or coordination contexts.",architecture
foyer,"A architecture term meaning fuaye, used in site, drawing, installation or coordination contexts.",architecture
building design,"A architecture term meaning bina tasarımı, used in site, drawing, installation or coordination contexts.",architecture
floor level,"A architecture term meaning kat seviyesi, used in site, drawing, installation or coordination contexts.",architecture
ground floor,"A architecture term meaning zemin kat, used in site, drawing, installation or coordination contexts.",architecture
first floor,"A architecture term meaning birinci kat, used in site, drawing, installation or coordination contexts.",architecture
building footprint,"A architecture term meaning bina taban alanı, used in site, drawing, installation or coordination contexts.",architecture
gross floor area,"A architecture term meaning brüt kat alanı, used in site, drawing, installation or coordination contexts.",architecture
net floor area,"A architecture term meaning net kat alanı, used in site, drawing, installation or coordination contexts.",architecture
space standard,"A architecture term meaning mekan standardı, used in site, drawing, installation or coordination contexts.",architecture
occupancy load,"A architecture term meaning kullanım yükü / kapasite, used in site, drawing, installation or coordination contexts.",architecture
building typology,"A architecture term meaning bina tipolojisi, used in site, drawing, installation or coordination contexts.",architecture
architectural style,"A architecture term meaning mimari stil, used in site, drawing, installation or coordination contexts.",architecture
modernist architecture,"A architecture term meaning modernist mimari, used in site, drawing, installation or coordination contexts.",architecture
contemporary architecture,"A architecture term meaning çağdaş mimari, used in site, drawing, installation or coordination contexts.",architecture
vernacular architecture,"A architecture term meaning yöresel mimari, used in site, drawing, installation or coordination contexts.",architecture
architectural heritage,"A architecture term meaning mimari miras, used in site, drawing, installation or coordination contexts.",architecture
design guidelines,"A architecture term meaning tasarım kılavuzu, used in site, drawing, installation or coordination contexts.",architecture
architectural review board,"A architecture term meaning mimari inceleme kurulu, used in site, drawing, installation or coordination contexts.",architecture
grid (design),"A architecture term meaning ızgara sistemi (tasarım), used in site, drawing, installation or coordination contexts.",architecture
datum line,"A architecture term meaning referans çizgisi, used in site, drawing, installation or coordination contexts.",architecture
figure-ground diagram,"A architecture term meaning figür-zemin diyagramı, used in site, drawing, installation or coordination contexts.",architecture
parti (design concept),"A architecture term meaning ana fikir (parti), used in site, drawing, installation or coordination contexts.",architecture
spatial sequence,"A architecture term meaning mekansal dizilim, used in site, drawing, installation or coordination contexts.",architecture
data center building,"A architecture term meaning veri merkezi binası, used in site, drawing, installation or coordination contexts.",architecture
parking structure,"A architecture term meaning otopark yapısı, used in site, drawing, installation or coordination contexts.",architecture
student housing,"A architecture term meaning öğrenci yurdu, used in site, drawing, installation or coordination contexts.",architecture
senior living facility,"A architecture term meaning huzurevi / yaşlı bakım tesisi, used in site, drawing, installation or coordination contexts.",architecture
airport terminal,"A architecture term meaning havalimanı terminali, used in site, drawing, installation or coordination contexts.",architecture
exposed concrete finish,"A architecture term meaning açıkta bırakılmış beton yüzey, used in site, drawing, installation or coordination contexts.",architecture
polished concrete,"A architecture term meaning cilalı beton, used in site, drawing, installation or coordination contexts.",architecture
perforated metal panel,"A architecture term meaning delikli metal panel, used in site, drawing, installation or coordination contexts.",architecture
laminate finish,"A architecture term meaning laminat kaplama, used in site, drawing, installation or coordination contexts.",architecture
veneer (wood),"A architecture term meaning kaplama (ahşap), used in site, drawing, installation or coordination contexts.",architecture
massing model,"A architecture term meaning kütle modeli, used in site, drawing, installation or coordination contexts.",architecture
shop drawing (architecture),"A architecture term meaning imalat çizimi (mimari), used in site, drawing, installation or coordination contexts.",architecture
as-built model,"A architecture term meaning yapıldığı gibi model, used in site, drawing, installation or coordination contexts.",architecture
point cloud survey,"A architecture term meaning nokta bulutu ölçümü, used in site, drawing, installation or coordination contexts.",architecture
circular economy (architecture),"A architecture term meaning döngüsel ekonomi (mimari), used in site, drawing, installation or coordination contexts.",architecture
WELL certification,"A architecture term meaning WELL sertifikası, used in site, drawing, installation or coordination contexts.",architecture
heat island effect,"A architecture term meaning ısı adası etkisi, used in site, drawing, installation or coordination contexts.",architecture
acoustic ceiling tile,"A architecture term meaning akustik tavan plakası, used in site, drawing, installation or coordination contexts.",architecture
modular furniture,"A architecture term meaning modüler mobilya, used in site, drawing, installation or coordination contexts.",architecture
ergonomic design (interior),"A architecture term meaning ergonomik tasarım (iç mekan), used in site, drawing, installation or coordination contexts.",architecture
xeriscaping,"A architecture term meaning kurakçıl peyzaj, used in site, drawing, installation or coordination contexts.",architecture
bioswale,"A architecture term meaning biyo-hendek, used in site, drawing, installation or coordination contexts.",architecture
green corridor,"A architecture term meaning yeşil koridor, used in site, drawing, installation or coordination contexts.",architecture
gentrification,"A architecture term meaning soylulaştırma, used in site, drawing, installation or coordination contexts.",architecture
brownfield development,"A architecture term meaning atıl arazi geliştirme, used in site, drawing, installation or coordination contexts.",architecture
compact city model,"A architecture term meaning kompakt şehir modeli, used in site, drawing, installation or coordination contexts.",architecture
spandrel panel,"A architecture term meaning spandrel panel, used in site, drawing, installation or coordination contexts.",architecture
thermal break,"A architecture term meaning termal kesinti, used in site, drawing, installation or coordination contexts.",architecture
unitized facade system,"A architecture term meaning üniteli cephe sistemi, used in site, drawing, installation or coordination contexts.",architecture
conservation area,"A architecture term meaning koruma alanı, used in site, drawing, installation or coordination contexts.",architecture
facadism,"A architecture term meaning cephe koruma (facadism), used in site, drawing, installation or coordination contexts.",architecture
design fee proposal,"A architecture term meaning tasarım ücret teklifi, used in site, drawing, installation or coordination contexts.",architecture
scope of services,"A architecture term meaning hizmet kapsamı, used in site, drawing, installation or coordination contexts.",architecture
architectural licensing,"A architecture term meaning mimarlık lisanslama, used in site, drawing, installation or coordination contexts.",architecture
hall,"A architecture term meaning salon / hol, used in site, drawing, installation or coordination contexts.",architecture
garage,"A architecture term meaning garaj, used in site, drawing, installation or coordination contexts.",architecture
courtyard house,"A architecture term meaning avlulu ev, used in site, drawing, installation or coordination contexts.",architecture
porch,"A architecture term meaning veranda, used in site, drawing, installation or coordination contexts.",architecture
skylight,"A architecture term meaning tepe penceresi, used in site, drawing, installation or coordination contexts.",architecture
partition wall,"A architecture term meaning bölme duvar, used in site, drawing, installation or coordination contexts.",architecture
column grid,"A architecture term meaning kolon aksı, used in site, drawing, installation or coordination contexts.",architecture
gymnasium,"A architecture term meaning spor salonu, used in site, drawing, installation or coordination contexts.",architecture
convention center,"A architecture term meaning kongre merkezi, used in site, drawing, installation or coordination contexts.",architecture
courthouse,"A architecture term meaning adliye binası, used in site, drawing, installation or coordination contexts.",architecture
embassy building,"A architecture term meaning elçilik binası, used in site, drawing, installation or coordination contexts.",architecture
laboratory building,"A architecture term meaning laboratuvar binası, used in site, drawing, installation or coordination contexts.",architecture
clinic,"A architecture term meaning klinik, used in site, drawing, installation or coordination contexts.",architecture
care home,"A architecture term meaning bakımevi, used in site, drawing, installation or coordination contexts.",architecture
dormitory,"A architecture term meaning yurt / dormituar, used in site, drawing, installation or coordination contexts.",architecture
prefabricated building,"A architecture term meaning prefabrik bina, used in site, drawing, installation or coordination contexts.",architecture
modular building,"A architecture term meaning modüler bina, used in site, drawing, installation or coordination contexts.",architecture
form follows function,"A architecture term meaning biçim işlevi izler (ilke), used in site, drawing, installation or coordination contexts.",architecture
golden ratio,"A architecture term meaning altın oran, used in site, drawing, installation or coordination contexts.",architecture
scale (design),"A architecture term meaning ölçek (tasarım), used in site, drawing, installation or coordination contexts.",architecture
rhythm (design),"A architecture term meaning ritim (tasarım), used in site, drawing, installation or coordination contexts.",architecture
contrast (design),"A architecture term meaning kontrast (tasarım), used in site, drawing, installation or coordination contexts.",architecture
hierarchy of spaces,"A architecture term meaning mekan hiyerarşisi, used in site, drawing, installation or coordination contexts.",architecture
compact planning,"A architecture term meaning kompakt planlama, used in site, drawing, installation or coordination contexts.",architecture
flexible space,"A architecture term meaning esnek mekan, used in site, drawing, installation or coordination contexts.",architecture
multi-purpose room,"A architecture term meaning çok amaçlı oda, used in site, drawing, installation or coordination contexts.",architecture
core (building),"A architecture term meaning servis çekirdeği (bina), used in site, drawing, installation or coordination contexts.",architecture
brick facade,"A architecture term meaning tuğla cephe, used in site, drawing, installation or coordination contexts.",architecture
aluminum composite panel,"A architecture term meaning alüminyum kompozit panel, used in site, drawing, installation or coordination contexts.",architecture
fiber cement board,"A architecture term meaning fiber çimento levha, used in site, drawing, installation or coordination contexts.",architecture
engineered wood flooring,"A architecture term meaning mühendislik ahşap zemin, used in site, drawing, installation or coordination contexts.",architecture
epoxy resin flooring,"A architecture term meaning epoksi reçine zemin, used in site, drawing, installation or coordination contexts.",architecture
stainless steel finish,"A architecture term meaning paslanmaz çelik yüzey, used in site, drawing, installation or coordination contexts.",architecture
bronze finish,"A architecture term meaning bronz kaplama, used in site, drawing, installation or coordination contexts.",architecture
textured concrete,"A architecture term meaning dokulu beton, used in site, drawing, installation or coordination contexts.",architecture
microcement,"A architecture term meaning mikro çimento, used in site, drawing, installation or coordination contexts.",architecture
resin flooring,"A architecture term meaning reçine zemin kaplaması, used in site, drawing, installation or coordination contexts.",architecture
layout drawing,"A architecture term meaning yerleşim çizimi, used in site, drawing, installation or coordination contexts.",architecture
presentation board,"A architecture term meaning sunum panosu, used in site, drawing, installation or coordination contexts.",architecture
axonometric drawing,"A architecture term meaning aksonometrik çizim, used in site, drawing, installation or coordination contexts.",architecture
perspective drawing,"A architecture term meaning perspektif çizim, used in site, drawing, installation or coordination contexts.",architecture
technical specification (architecture),"A architecture term meaning teknik şartname (mimari), used in site, drawing, installation or coordination contexts.",architecture
area schedule,"A architecture term meaning alan listesi, used in site, drawing, installation or coordination contexts.",architecture
survey drawing (architecture),"A architecture term meaning rölöve çizimi, used in site, drawing, installation or coordination contexts.",architecture
existing conditions drawing,"A architecture term meaning mevcut durum çizimi, used in site, drawing, installation or coordination contexts.",architecture
cross ventilation,"A architecture term meaning çapraz havalandırma, used in site, drawing, installation or coordination contexts.",architecture
insulated glazing unit,"A architecture term meaning yalıtımlı cam ünitesi, used in site, drawing, installation or coordination contexts.",architecture
thermal comfort (architecture),"A architecture term meaning termal konfor (mimari), used in site, drawing, installation or coordination contexts.",architecture
photovoltaic panel (architecture),"A architecture term meaning fotovoltaik panel (mimari), used in site, drawing, installation or coordination contexts.",architecture
building energy simulation,"A architecture term meaning bina enerji simülasyonu, used in site, drawing, installation or coordination contexts.",architecture
greywater recycling,"A architecture term meaning gri su geri kazanımı, used in site, drawing, installation or coordination contexts.",architecture
low-carbon material,"A architecture term meaning düşük karbonlu malzeme, used in site, drawing, installation or coordination contexts.",architecture
open kitchen,"A architecture term meaning açık mutfak, used in site, drawing, installation or coordination contexts.",architecture
walk-in closet,"A architecture term meaning giyinme odası, used in site, drawing, installation or coordination contexts.",architecture
false ceiling,"A architecture term meaning gizli tavan, used in site, drawing, installation or coordination contexts.",architecture
interior layout plan,"A architecture term meaning iç mekan yerleşim planı, used in site, drawing, installation or coordination contexts.",architecture
space allocation,"A architecture term meaning mekan tahsisi, used in site, drawing, installation or coordination contexts.",architecture
furniture schedule,"A architecture term meaning mobilya listesi, used in site, drawing, installation or coordination contexts.",architecture
loose fitting,"A architecture term meaning hareketli donanım, used in site, drawing, installation or coordination contexts.",architecture
planting bed,"A architecture term meaning bitkilendirme yatağı, used in site, drawing, installation or coordination contexts.",architecture
shrub,"A architecture term meaning çalı, used in site, drawing, installation or coordination contexts.",architecture
groundcover,"A architecture term meaning yer örtücü bitki, used in site, drawing, installation or coordination contexts.",architecture
pergola,"A architecture term meaning pergola, used in site, drawing, installation or coordination contexts.",architecture
gazebo,"A architecture term meaning köşk / çardak, used in site, drawing, installation or coordination contexts.",architecture
playground area,"A architecture term meaning oyun alanı, used in site, drawing, installation or coordination contexts.",architecture
outdoor lighting (landscape),"A architecture term meaning dış mekan aydınlatması, used in site, drawing, installation or coordination contexts.",architecture
landscape lighting plan,"A architecture term meaning peyzaj aydınlatma planı, used in site, drawing, installation or coordination contexts.",architecture
neighborhood planning,"A architecture term meaning mahalle planlaması, used in site, drawing, installation or coordination contexts.",architecture
pedestrianization,"A architecture term meaning yayalaştırma, used in site, drawing, installation or coordination contexts.",architecture
land use plan,"A architecture term meaning arazi kullanım planı, used in site, drawing, installation or coordination contexts.",architecture
infill development,"A architecture term meaning boşluk doldurma gelişimi, used in site, drawing, installation or coordination contexts.",architecture
public consultation (planning),"A architecture term meaning kamu istişaresi (planlama), used in site, drawing, installation or coordination contexts.",architecture
facade system,"A architecture term meaning cephe sistemi, used in site, drawing, installation or coordination contexts.",architecture
structural glazing,"A architecture term meaning yapısal camlama, used in site, drawing, installation or coordination contexts.",architecture
facade maintenance unit,"A architecture term meaning cephe bakım ünitesi, used in site, drawing, installation or coordination contexts.",architecture
weep hole (facade),"A architecture term meaning su tahliye deliği (cephe), used in site, drawing, installation or coordination contexts.",architecture
facade mock-up,"A architecture term meaning cephe numune bölümü, used in site, drawing, installation or coordination contexts.",architecture
lighting control system,"A architecture term meaning aydınlatma kontrol sistemi, used in site, drawing, installation or coordination contexts.",architecture
