term,turkishMeaning,definition,exampleSentence,turkishExample,domain
membrane separation,membran ayırma,"A chemical engineering term meaning membran ayırma, used in process, plant, laboratory or documentation contexts.",The membrane separation should be ready before start-up.,Devreye alma öncesinde membran ayırma hazır olmalıdır.,chemical
heat exchanger (process),ısı eşanjörü (proses),"A chemical engineering term meaning ısı eşanjörü (proses), used in process, plant, laboratory or documentation contexts.",Please check the heat exchanger (process) before the next inspection.,Lütfen bir sonraki muayeneden önce ısı eşanjörü (proses) kontrol edin.,chemical
plate heat exchanger,plakalı ısı eşanjörü,"A chemical engineering term meaning plakalı ısı eşanjörü, used in process, plant, laboratory or documentation contexts.",The plate heat exchanger must be confirmed before the process continues.,Prosese devam etmeden önce plakalı ısı eşanjörü teyit edilmelidir.,chemical
condenser (process),kondenser (proses),"A chemical engineering term meaning kondenser (proses), used in process, plant, laboratory or documentation contexts.",The condenser (process) should be recorded in the operating log.,kondenser (proses) işletme kayıt defterine kaydedilmelidir.,chemical
evaporator (process),evaporatör (proses),"A chemical engineering term meaning evaporatör (proses), used in process, plant, laboratory or documentation contexts.",The evaporator (process) should be ready before start-up.,Devreye alma öncesinde evaporatör (proses) hazır olmalıdır.,chemical
fouling (heat exchanger),kirlenme (ısı eşanjörü),"A chemical engineering term meaning kirlenme (ısı eşanjörü), used in process, plant, laboratory or documentation contexts.",Please check the fouling (heat exchanger) before the next inspection.,Lütfen bir sonraki muayeneden önce kirlenme (ısı eşanjörü) kontrol edin.,chemical
baffle (heat exchanger),baffle plakası,"A chemical engineering term meaning baffle plakası, used in process, plant, laboratory or documentation contexts.",The baffle (heat exchanger) must be confirmed before the process continues.,Prosese devam etmeden önce baffle plakası teyit edilmelidir.,chemical
cooling water circuit,soğutma suyu devresi,"A chemical engineering term meaning soğutma suyu devresi, used in process, plant, laboratory or documentation contexts.",The cooling water circuit should be recorded in the operating log.,soğutma suyu devresi işletme kayıt defterine kaydedilmelidir.,chemical
heat duty,ısı yükü (eşanjör),"A chemical engineering term meaning ısı yükü (eşanjör), used in process, plant, laboratory or documentation contexts.",The heat duty should be ready before start-up.,Devreye alma öncesinde ısı yükü (eşanjör) hazır olmalıdır.,chemical
mass transfer,kütle transferi,"A chemical engineering term meaning kütle transferi, used in process, plant, laboratory or documentation contexts.",Please check the mass transfer before the next inspection.,Lütfen bir sonraki muayeneden önce kütle transferi kontrol edin.,chemical
diffusion,difüzyon,"A chemical engineering term meaning difüzyon, used in process, plant, laboratory or documentation contexts.",The process engineer verified the diffusion during the plant walkdown.,Proses mühendisi saha kontrolü sırasında difüzyon doğruladı.,chemical
mass transfer coefficient,kütle transfer katsayısı,"A chemical engineering term meaning kütle transfer katsayısı, used in process, plant, laboratory or documentation contexts.",The mass transfer coefficient must be confirmed before the process continues.,Prosese devam etmeden önce kütle transfer katsayısı teyit edilmelidir.,chemical
interfacial area,arayüzey alanı,"A chemical engineering term meaning arayüzey alanı, used in process, plant, laboratory or documentation contexts.",The interfacial area should be recorded in the operating log.,arayüzey alanı işletme kayıt defterine kaydedilmelidir.,chemical
concentration gradient,derişim gradyanı,"A chemical engineering term meaning derişim gradyanı, used in process, plant, laboratory or documentation contexts.",The concentration gradient should be ready before start-up.,Devreye alma öncesinde derişim gradyanı hazır olmalıdır.,chemical
Fick's law,Fick yasası,"A chemical engineering term meaning Fick yasası, used in process, plant, laboratory or documentation contexts.",Please check the Fick's law before the next inspection.,Lütfen bir sonraki muayeneden önce Fick yasası kontrol edin.,chemical
process flow,proses akışı,"A chemical engineering term meaning proses akışı, used in process, plant, laboratory or documentation contexts.",The process engineer verified the process flow during the plant walkdown.,Proses mühendisi saha kontrolü sırasında proses akışı doğruladı.,chemical
pipeline (process),boru hattı (proses),"A chemical engineering term meaning boru hattı (proses), used in process, plant, laboratory or documentation contexts.",The pipeline (process) must be confirmed before the process continues.,Prosese devam etmeden önce boru hattı (proses) teyit edilmelidir.,chemical
pressure drop (process),basınç düşüşü (proses),"A chemical engineering term meaning basınç düşüşü (proses), used in process, plant, laboratory or documentation contexts.",The pressure drop (process) should be ready before start-up.,Devreye alma öncesinde basınç düşüşü (proses) hazır olmalıdır.,chemical
two-phase flow,iki fazlı akış,"A chemical engineering term meaning iki fazlı akış, used in process, plant, laboratory or documentation contexts.",Please check the two-phase flow before the next inspection.,Lütfen bir sonraki muayeneden önce iki fazlı akış kontrol edin.,chemical
slurry,bulamaç / çamur (proses),"A chemical engineering term meaning bulamaç / çamur (proses), used in process, plant, laboratory or documentation contexts.",The process engineer verified the slurry during the plant walkdown.,Proses mühendisi saha kontrolü sırasında bulamaç / çamur (proses) doğruladı.,chemical
viscosity (process fluid),viskozite (proses akışkanı),"A chemical engineering term meaning viskozite (proses akışkanı), used in process, plant, laboratory or documentation contexts.",The viscosity (process fluid) must be confirmed before the process continues.,Prosese devam etmeden önce viskozite (proses akışkanı) teyit edilmelidir.,chemical
agitator,karıştırıcı,"A chemical engineering term meaning karıştırıcı, used in process, plant, laboratory or documentation contexts.",The agitator should be recorded in the operating log.,karıştırıcı işletme kayıt defterine kaydedilmelidir.,chemical
impeller (mixing),pervane (karıştırma),"A chemical engineering term meaning pervane (karıştırma), used in process, plant, laboratory or documentation contexts.",The impeller (mixing) should be ready before start-up.,Devreye alma öncesinde pervane (karıştırma) hazır olmalıdır.,chemical
mixing tank,karıştırma tankı,"A chemical engineering term meaning karıştırma tankı, used in process, plant, laboratory or documentation contexts.",Please check the mixing tank before the next inspection.,Lütfen bir sonraki muayeneden önce karıştırma tankı kontrol edin.,chemical
baffle (mixing tank),şaşırtıcı plaka (tank),"A chemical engineering term meaning şaşırtıcı plaka (tank), used in process, plant, laboratory or documentation contexts.",The process engineer verified the baffle (mixing tank) during the plant walkdown.,Proses mühendisi saha kontrolü sırasında şaşırtıcı plaka (tank) doğruladı.,chemical
blend time,karışım süresi,"A chemical engineering term meaning karışım süresi, used in process, plant, laboratory or documentation contexts.",The blend time must be confirmed before the process continues.,Prosese devam etmeden önce karışım süresi teyit edilmelidir.,chemical
static mixer,statik karıştırıcı,"A chemical engineering term meaning statik karıştırıcı, used in process, plant, laboratory or documentation contexts.",The static mixer should be recorded in the operating log.,statik karıştırıcı işletme kayıt defterine kaydedilmelidir.,chemical
homogenizer,homojenizatör,"A chemical engineering term meaning homojenizatör, used in process, plant, laboratory or documentation contexts.",The homogenizer should be ready before start-up.,Devreye alma öncesinde homojenizatör hazır olmalıdır.,chemical
filtration,filtrasyon,"A chemical engineering term meaning filtrasyon, used in process, plant, laboratory or documentation contexts.",Please check the filtration before the next inspection.,Lütfen bir sonraki muayeneden önce filtrasyon kontrol edin.,chemical
filter press,filtre presi,"A chemical engineering term meaning filtre presi, used in process, plant, laboratory or documentation contexts.",The process engineer verified the filter press during the plant walkdown.,Proses mühendisi saha kontrolü sırasında filtre presi doğruladı.,chemical
filter cake,filtre keki,"A chemical engineering term meaning filtre keki, used in process, plant, laboratory or documentation contexts.",The filter cake must be confirmed before the process continues.,Prosese devam etmeden önce filtre keki teyit edilmelidir.,chemical
filter medium,filtre ortamı,"A chemical engineering term meaning filtre ortamı, used in process, plant, laboratory or documentation contexts.",The filter medium should be recorded in the operating log.,filtre ortamı işletme kayıt defterine kaydedilmelidir.,chemical
vacuum filtration,vakumlu filtrasyon,"A chemical engineering term meaning vakumlu filtrasyon, used in process, plant, laboratory or documentation contexts.",The vacuum filtration should be ready before start-up.,Devreye alma öncesinde vakumlu filtrasyon hazır olmalıdır.,chemical
drying (process),kurutma (proses),"A chemical engineering term meaning kurutma (proses), used in process, plant, laboratory or documentation contexts.",Please check the drying (process) before the next inspection.,Lütfen bir sonraki muayeneden önce kurutma (proses) kontrol edin.,chemical
dryer (industrial),kurutucu (endüstriyel),"A chemical engineering term meaning kurutucu (endüstriyel), used in process, plant, laboratory or documentation contexts.",The process engineer verified the dryer (industrial) during the plant walkdown.,Proses mühendisi saha kontrolü sırasında kurutucu (endüstriyel) doğruladı.,chemical
spray dryer,sprey kurutucu,"A chemical engineering term meaning sprey kurutucu, used in process, plant, laboratory or documentation contexts.",The spray dryer must be confirmed before the process continues.,Prosese devam etmeden önce sprey kurutucu teyit edilmelidir.,chemical
rotary dryer,döner kurutucu,"A chemical engineering term meaning döner kurutucu, used in process, plant, laboratory or documentation contexts.",The rotary dryer should be recorded in the operating log.,döner kurutucu işletme kayıt defterine kaydedilmelidir.,chemical
moisture content,nem içeriği,"A chemical engineering term meaning nem içeriği, used in process, plant, laboratory or documentation contexts.",The moisture content should be ready before start-up.,Devreye alma öncesinde nem içeriği hazır olmalıdır.,chemical
process instrumentation,proses enstrümantasyonu,"A chemical engineering term meaning proses enstrümantasyonu, used in process, plant, laboratory or documentation contexts.",Please check the process instrumentation before the next inspection.,Lütfen bir sonraki muayeneden önce proses enstrümantasyonu kontrol edin.,chemical
pressure transmitter,basınç transmiteri,"A chemical engineering term meaning basınç transmiteri, used in process, plant, laboratory or documentation contexts.",The process engineer verified the pressure transmitter during the plant walkdown.,Proses mühendisi saha kontrolü sırasında basınç transmiteri doğruladı.,chemical
temperature transmitter,sıcaklık transmiteri,"A chemical engineering term meaning sıcaklık transmiteri, used in process, plant, laboratory or documentation contexts.",The temperature transmitter must be confirmed before the process continues.,Prosese devam etmeden önce sıcaklık transmiteri teyit edilmelidir.,chemical
flow transmitter,debi transmiteri,"A chemical engineering term meaning debi transmiteri, used in process, plant, laboratory or documentation contexts.",The flow transmitter should be recorded in the operating log.,debi transmiteri işletme kayıt defterine kaydedilmelidir.,chemical
level transmitter,seviye transmiteri,"A chemical engineering term meaning seviye transmiteri, used in process, plant, laboratory or documentation contexts.",The level transmitter should be ready before start-up.,Devreye alma öncesinde seviye transmiteri hazır olmalıdır.,chemical
control loop (process),kontrol döngüsü (proses),"A chemical engineering term meaning kontrol döngüsü (proses), used in process, plant, laboratory or documentation contexts.",Please check the control loop (process) before the next inspection.,Lütfen bir sonraki muayeneden önce kontrol döngüsü (proses) kontrol edin.,chemical
distributed control system,dağıtılmış kontrol sistemi,"A chemical engineering term meaning dağıtılmış kontrol sistemi, used in process, plant, laboratory or documentation contexts.",The process engineer verified the distributed control system during the plant walkdown.,Proses mühendisi saha kontrolü sırasında dağıtılmış kontrol sistemi doğruladı.,chemical
process alarm,proses alarmı,"A chemical engineering term meaning proses alarmı, used in process, plant, laboratory or documentation contexts.",The process alarm must be confirmed before the process continues.,Prosese devam etmeden önce proses alarmı teyit edilmelidir.,chemical
setpoint,ayar noktası,"A chemical engineering term meaning ayar noktası, used in process, plant, laboratory or documentation contexts.",The setpoint should be recorded in the operating log.,ayar noktası işletme kayıt defterine kaydedilmelidir.,chemical
process variable,proses değişkeni,"A chemical engineering term meaning proses değişkeni, used in process, plant, laboratory or documentation contexts.",The process variable should be ready before start-up.,Devreye alma öncesinde proses değişkeni hazır olmalıdır.,chemical
control valve (process),kontrol vanası (proses),"A chemical engineering term meaning kontrol vanası (proses), used in process, plant, laboratory or documentation contexts.",Please check the control valve (process) before the next inspection.,Lütfen bir sonraki muayeneden önce kontrol vanası (proses) kontrol edin.,chemical
interlock (process),kilitleme sistemi (proses),"A chemical engineering term meaning kilitleme sistemi (proses), used in process, plant, laboratory or documentation contexts.",The process engineer verified the interlock (process) during the plant walkdown.,Proses mühendisi saha kontrolü sırasında kilitleme sistemi (proses) doğruladı.,chemical
reactor,reaktör,"A chemical engineering term meaning reaktör, used in process, plant, laboratory or documentation contexts.",The reactor must be confirmed before the process continues.,Prosese devam etmeden önce reaktör teyit edilmelidir.,chemical
vessel (process),kap / tank (proses),"A chemical engineering term meaning kap / tank (proses), used in process, plant, laboratory or documentation contexts.",The vessel (process) should be recorded in the operating log.,kap / tank (proses) işletme kayıt defterine kaydedilmelidir.,chemical
agitated vessel,karıştırmalı kap,"A chemical engineering term meaning karıştırmalı kap, used in process, plant, laboratory or documentation contexts.",The agitated vessel should be ready before start-up.,Devreye alma öncesinde karıştırmalı kap hazır olmalıdır.,chemical
jacketed vessel,ceketli kap,"A chemical engineering term meaning ceketli kap, used in process, plant, laboratory or documentation contexts.",Please check the jacketed vessel before the next inspection.,Lütfen bir sonraki muayeneden önce ceketli kap kontrol edin.,chemical
pressure vessel (process),basınçlı kap (proses),"A chemical engineering term meaning basınçlı kap (proses), used in process, plant, laboratory or documentation contexts.",The process engineer verified the pressure vessel (process) during the plant walkdown.,Proses mühendisi saha kontrolü sırasında basınçlı kap (proses) doğruladı.,chemical
reactor jacket,reaktör ceketi,"A chemical engineering term meaning reaktör ceketi, used in process, plant, laboratory or documentation contexts.",The reactor jacket must be confirmed before the process continues.,Prosese devam etmeden önce reaktör ceketi teyit edilmelidir.,chemical
reactor coil,reaktör serpantini,"A chemical engineering term meaning reaktör serpantini, used in process, plant, laboratory or documentation contexts.",The reactor coil should be recorded in the operating log.,reaktör serpantini işletme kayıt defterine kaydedilmelidir.,chemical
vessel nozzle,kap nozulu,"A chemical engineering term meaning kap nozulu, used in process, plant, laboratory or documentation contexts.",The vessel nozzle should be ready before start-up.,Devreye alma öncesinde kap nozulu hazır olmalıdır.,chemical
manway,adam giriş kapağı,"A chemical engineering term meaning adam giriş kapağı, used in process, plant, laboratory or documentation contexts.",Please check the manway before the next inspection.,Lütfen bir sonraki muayeneden önce adam giriş kapağı kontrol edin.,chemical
process pump,proses pompası,"A chemical engineering term meaning proses pompası, used in process, plant, laboratory or documentation contexts.",The process engineer verified the process pump during the plant walkdown.,Proses mühendisi saha kontrolü sırasında proses pompası doğruladı.,chemical
centrifugal pump (process),santrifüj pompa (proses),"A chemical engineering term meaning santrifüj pompa (proses), used in process, plant, laboratory or documentation contexts.",The centrifugal pump (process) must be confirmed before the process continues.,Prosese devam etmeden önce santrifüj pompa (proses) teyit edilmelidir.,chemical
metering pump,dozaj pompası,"A chemical engineering term meaning dozaj pompası, used in process, plant, laboratory or documentation contexts.",The metering pump should be recorded in the operating log.,dozaj pompası işletme kayıt defterine kaydedilmelidir.,chemical
process compressor,proses kompresörü,"A chemical engineering term meaning proses kompresörü, used in process, plant, laboratory or documentation contexts.",The process compressor should be ready before start-up.,Devreye alma öncesinde proses kompresörü hazır olmalıdır.,chemical
vacuum system (process),vakum sistemi (proses),"A chemical engineering term meaning vakum sistemi (proses), used in process, plant, laboratory or documentation contexts.",Please check the vacuum system (process) before the next inspection.,Lütfen bir sonraki muayeneden önce vakum sistemi (proses) kontrol edin.,chemical
process safety,proses güvenliği,"A chemical engineering term meaning proses güvenliği, used in process, plant, laboratory or documentation contexts.",The process engineer verified the process safety during the plant walkdown.,Proses mühendisi saha kontrolü sırasında proses güvenliği doğruladı.,chemical
relief system (process),tahliye sistemi (proses),"A chemical engineering term meaning tahliye sistemi (proses), used in process, plant, laboratory or documentation contexts.",The relief system (process) should be recorded in the operating log.,tahliye sistemi (proses) işletme kayıt defterine kaydedilmelidir.,chemical
runaway reaction,kaçak reaksiyon,"A chemical engineering term meaning kaçak reaksiyon, used in process, plant, laboratory or documentation contexts.",The runaway reaction should be ready before start-up.,Devreye alma öncesinde kaçak reaksiyon hazır olmalıdır.,chemical
explosion limit,patlama sınırı,"A chemical engineering term meaning patlama sınırı, used in process, plant, laboratory or documentation contexts.",Please check the explosion limit before the next inspection.,Lütfen bir sonraki muayeneden önce patlama sınırı kontrol edin.,chemical
flash point,parlama noktası,"A chemical engineering term meaning parlama noktası, used in process, plant, laboratory or documentation contexts.",The process engineer verified the flash point during the plant walkdown.,Proses mühendisi saha kontrolü sırasında parlama noktası doğruladı.,chemical
toxic release,toksik salım,"A chemical engineering term meaning toksik salım, used in process, plant, laboratory or documentation contexts.",The toxic release must be confirmed before the process continues.,Prosese devam etmeden önce toksik salım teyit edilmelidir.,chemical
process hazard analysis,proses tehlike analizi,"A chemical engineering term meaning proses tehlike analizi, used in process, plant, laboratory or documentation contexts.",The process hazard analysis should be recorded in the operating log.,proses tehlike analizi işletme kayıt defterine kaydedilmelidir.,chemical
safety instrumented system,güvenlik enstrümantasyon sistemi,"A chemical engineering term meaning güvenlik enstrümantasyon sistemi, used in process, plant, laboratory or documentation contexts.",The safety instrumented system should be ready before start-up.,Devreye alma öncesinde güvenlik enstrümantasyon sistemi hazır olmalıdır.,chemical
emergency shutdown system,acil durdurma sistemi,"A chemical engineering term meaning acil durdurma sistemi, used in process, plant, laboratory or documentation contexts.",Please check the emergency shutdown system before the next inspection.,Lütfen bir sonraki muayeneden önce acil durdurma sistemi kontrol edin.,chemical
bund wall,koruma duvarı (tank çevresi),"A chemical engineering term meaning koruma duvarı (tank çevresi), used in process, plant, laboratory or documentation contexts.",The process engineer verified the bund wall during the plant walkdown.,Proses mühendisi saha kontrolü sırasında koruma duvarı (tank çevresi) doğruladı.,chemical
secondary containment,ikincil sızdırmazlık önlemi,"A chemical engineering term meaning ikincil sızdırmazlık önlemi, used in process, plant, laboratory or documentation contexts.",The secondary containment must be confirmed before the process continues.,Prosese devam etmeden önce ikincil sızdırmazlık önlemi teyit edilmelidir.,chemical
corrosion (process),korozyon (proses),"A chemical engineering term meaning korozyon (proses), used in process, plant, laboratory or documentation contexts.",The corrosion (process) should be recorded in the operating log.,korozyon (proses) işletme kayıt defterine kaydedilmelidir.,chemical
corrosion resistant material,korozyona dayanıklı malzeme,"A chemical engineering term meaning korozyona dayanıklı malzeme, used in process, plant, laboratory or documentation contexts.",The corrosion resistant material should be ready before start-up.,Devreye alma öncesinde korozyona dayanıklı malzeme hazır olmalıdır.,chemical
chemical compatibility,kimyasal uyumluluk,"A chemical engineering term meaning kimyasal uyumluluk, used in process, plant, laboratory or documentation contexts.",Please check the chemical compatibility before the next inspection.,Lütfen bir sonraki muayeneden önce kimyasal uyumluluk kontrol edin.,chemical
lining (vessel),astar / kaplama (kap),"A chemical engineering term meaning astar / kaplama (kap), used in process, plant, laboratory or documentation contexts.",The process engineer verified the lining (vessel) during the plant walkdown.,Proses mühendisi saha kontrolü sırasında astar / kaplama (kap) doğruladı.,chemical
erosion (process equipment),erozyon (proses ekipmanı),"A chemical engineering term meaning erozyon (proses ekipmanı), used in process, plant, laboratory or documentation contexts.",The erosion (process equipment) must be confirmed before the process continues.,Prosese devam etmeden önce erozyon (proses ekipmanı) teyit edilmelidir.,chemical
stress corrosion (process),gerilmeli korozyon (proses),"A chemical engineering term meaning gerilmeli korozyon (proses), used in process, plant, laboratory or documentation contexts.",The stress corrosion (process) should be recorded in the operating log.,gerilmeli korozyon (proses) işletme kayıt defterine kaydedilmelidir.,chemical
crude oil,ham petrol,"A chemical engineering term meaning ham petrol, used in process, plant, laboratory or documentation contexts.",Please check the crude oil before the next inspection.,Lütfen bir sonraki muayeneden önce ham petrol kontrol edin.,chemical
refinery,rafineri,"A chemical engineering term meaning rafineri, used in process, plant, laboratory or documentation contexts.",The process engineer verified the refinery during the plant walkdown.,Proses mühendisi saha kontrolü sırasında rafineri doğruladı.,chemical
cracking (refining),kraking,"A chemical engineering term meaning kraking, used in process, plant, laboratory or documentation contexts.",The cracking (refining) must be confirmed before the process continues.,Prosese devam etmeden önce kraking teyit edilmelidir.,chemical
catalytic cracking,katalitik kraking,"A chemical engineering term meaning katalitik kraking, used in process, plant, laboratory or documentation contexts.",The catalytic cracking should be recorded in the operating log.,katalitik kraking işletme kayıt defterine kaydedilmelidir.,chemical
naphtha,nafta,"A chemical engineering term meaning nafta, used in process, plant, laboratory or documentation contexts.",The naphtha should be ready before start-up.,Devreye alma öncesinde nafta hazır olmalıdır.,chemical
feedstock,hammadde / besleme,"A chemical engineering term meaning hammadde / besleme, used in process, plant, laboratory or documentation contexts.",Please check the feedstock before the next inspection.,Lütfen bir sonraki muayeneden önce hammadde / besleme kontrol edin.,chemical
petrochemical,petrokimyasal,"A chemical engineering term meaning petrokimyasal, used in process, plant, laboratory or documentation contexts.",The process engineer verified the petrochemical during the plant walkdown.,Proses mühendisi saha kontrolü sırasında petrokimyasal doğruladı.,chemical
distillate,distilat,"A chemical engineering term meaning distilat, used in process, plant, laboratory or documentation contexts.",The distillate must be confirmed before the process continues.,Prosese devam etmeden önce distilat teyit edilmelidir.,chemical
desulfurization,kükürt giderme,"A chemical engineering term meaning kükürt giderme, used in process, plant, laboratory or documentation contexts.",The desulfurization should be recorded in the operating log.,kükürt giderme işletme kayıt defterine kaydedilmelidir.,chemical
reforming (refining),reformasyon (rafineri),"A chemical engineering term meaning reformasyon (rafineri), used in process, plant, laboratory or documentation contexts.",The reforming (refining) should be ready before start-up.,Devreye alma öncesinde reformasyon (rafineri) hazır olmalıdır.,chemical
hydrocracking,hidrokraking,"A chemical engineering term meaning hidrokraking, used in process, plant, laboratory or documentation contexts.",Please check the hydrocracking before the next inspection.,Lütfen bir sonraki muayeneden önce hidrokraking kontrol edin.,chemical
octane number,oktan sayısı,"A chemical engineering term meaning oktan sayısı, used in process, plant, laboratory or documentation contexts.",The process engineer verified the octane number during the plant walkdown.,Proses mühendisi saha kontrolü sırasında oktan sayısı doğruladı.,chemical
polymer (chemical),polimer,"A chemical engineering term meaning polimer, used in process, plant, laboratory or documentation contexts.",The polymer (chemical) must be confirmed before the process continues.,Prosese devam etmeden önce polimer teyit edilmelidir.,chemical
monomer,monomer,"A chemical engineering term meaning monomer, used in process, plant, laboratory or documentation contexts.",The monomer should be recorded in the operating log.,monomer işletme kayıt defterine kaydedilmelidir.,chemical
polymerization,polimerizasyon,"A chemical engineering term meaning polimerizasyon, used in process, plant, laboratory or documentation contexts.",The polymerization should be ready before start-up.,Devreye alma öncesinde polimerizasyon hazır olmalıdır.,chemical
thermoplastic (chemical),termoplastik,"A chemical engineering term meaning termoplastik, used in process, plant, laboratory or documentation contexts.",Please check the thermoplastic (chemical) before the next inspection.,Lütfen bir sonraki muayeneden önce termoplastik kontrol edin.,chemical
thermosetting resin,termoset reçine,"A chemical engineering term meaning termoset reçine, used in process, plant, laboratory or documentation contexts.",The process engineer verified the thermosetting resin during the plant walkdown.,Proses mühendisi saha kontrolü sırasında termoset reçine doğruladı.,chemical
resin,reçine,"A chemical engineering term meaning reçine, used in process, plant, laboratory or documentation contexts.",The resin must be confirmed before the process continues.,Prosese devam etmeden önce reçine teyit edilmelidir.,chemical
copolymer,kopolimer,"A chemical engineering term meaning kopolimer, used in process, plant, laboratory or documentation contexts.",The copolymer should be recorded in the operating log.,kopolimer işletme kayıt defterine kaydedilmelidir.,chemical
degree of polymerization,polimerizasyon derecesi,"A chemical engineering term meaning polimerizasyon derecesi, used in process, plant, laboratory or documentation contexts.",The degree of polymerization should be ready before start-up.,Devreye alma öncesinde polimerizasyon derecesi hazır olmalıdır.,chemical
plasticizer (chemical),plastikleştirici (kimyasal),"A chemical engineering term meaning plastikleştirici (kimyasal), used in process, plant, laboratory or documentation contexts.",Please check the plasticizer (chemical) before the next inspection.,Lütfen bir sonraki muayeneden önce plastikleştirici (kimyasal) kontrol edin.,chemical
water treatment,su arıtma,"A chemical engineering term meaning su arıtma, used in process, plant, laboratory or documentation contexts.",The process engineer verified the water treatment during the plant walkdown.,Proses mühendisi saha kontrolü sırasında su arıtma doğruladı.,chemical
wastewater treatment,atık su arıtma,"A chemical engineering term meaning atık su arıtma, used in process, plant, laboratory or documentation contexts.",The wastewater treatment must be confirmed before the process continues.,Prosese devam etmeden önce atık su arıtma teyit edilmelidir.,chemical
coagulation,koagülasyon,"A chemical engineering term meaning koagülasyon, used in process, plant, laboratory or documentation contexts.",The coagulation should be recorded in the operating log.,koagülasyon işletme kayıt defterine kaydedilmelidir.,chemical
flocculation,flokülasyon,"A chemical engineering term meaning flokülasyon, used in process, plant, laboratory or documentation contexts.",The flocculation should be ready before start-up.,Devreye alma öncesinde flokülasyon hazır olmalıdır.,chemical
reverse osmosis,ters ozmoz,"A chemical engineering term meaning ters ozmoz, used in process, plant, laboratory or documentation contexts.",Please check the reverse osmosis before the next inspection.,Lütfen bir sonraki muayeneden önce ters ozmoz kontrol edin.,chemical
ion exchange,iyon değişimi,"A chemical engineering term meaning iyon değişimi, used in process, plant, laboratory or documentation contexts.",The process engineer verified the ion exchange during the plant walkdown.,Proses mühendisi saha kontrolü sırasında iyon değişimi doğruladı.,chemical
chlorination,klorlama,"A chemical engineering term meaning klorlama, used in process, plant, laboratory or documentation contexts.",The chlorination must be confirmed before the process continues.,Prosese devam etmeden önce klorlama teyit edilmelidir.,chemical
effluent,atık su / deşarj,"A chemical engineering term meaning atık su / deşarj, used in process, plant, laboratory or documentation contexts.",The effluent should be recorded in the operating log.,atık su / deşarj işletme kayıt defterine kaydedilmelidir.,chemical
biological oxygen demand,biyolojik oksijen ihtiyacı,"A chemical engineering term meaning biyolojik oksijen ihtiyacı, used in process, plant, laboratory or documentation contexts.",The biological oxygen demand should be ready before start-up.,Devreye alma öncesinde biyolojik oksijen ihtiyacı hazır olmalıdır.,chemical
chemical oxygen demand,kimyasal oksijen ihtiyacı,"A chemical engineering term meaning kimyasal oksijen ihtiyacı, used in process, plant, laboratory or documentation contexts.",Please check the chemical oxygen demand before the next inspection.,Lütfen bir sonraki muayeneden önce kimyasal oksijen ihtiyacı kontrol edin.,chemical
sludge treatment,çamur arıtımı,"A chemical engineering term meaning çamur arıtımı, used in process, plant, laboratory or documentation contexts.",The process engineer verified the sludge treatment during the plant walkdown.,Proses mühendisi saha kontrolü sırasında çamur arıtımı doğruladı.,chemical
scrubber (emissions),yıkayıcı (emisyon),"A chemical engineering term meaning yıkayıcı (emisyon), used in process, plant, laboratory or documentation contexts.",The scrubber (emissions) must be confirmed before the process continues.,Prosese devam etmeden önce yıkayıcı (emisyon) teyit edilmelidir.,chemical
emission control (process),emisyon kontrolü (proses),"A chemical engineering term meaning emisyon kontrolü (proses), used in process, plant, laboratory or documentation contexts.",The emission control (process) should be recorded in the operating log.,emisyon kontrolü (proses) işletme kayıt defterine kaydedilmelidir.,chemical
laboratory,laboratuvar,"A chemical engineering term meaning laboratuvar, used in process, plant, laboratory or documentation contexts.",The laboratory should be ready before start-up.,Devreye alma öncesinde laboratuvar hazır olmalıdır.,chemical
titration,titrasyon,"A chemical engineering term meaning titrasyon, used in process, plant, laboratory or documentation contexts.",Please check the titration before the next inspection.,Lütfen bir sonraki muayeneden önce titrasyon kontrol edin.,chemical
pipette,pipet,"A chemical engineering term meaning pipet, used in process, plant, laboratory or documentation contexts.",The process engineer verified the pipette during the plant walkdown.,Proses mühendisi saha kontrolü sırasında pipet doğruladı.,chemical
beaker,beher,"A chemical engineering term meaning beher, used in process, plant, laboratory or documentation contexts.",The beaker must be confirmed before the process continues.,Prosese devam etmeden önce beher teyit edilmelidir.,chemical
test tube,deney tüpü,"A chemical engineering term meaning deney tüpü, used in process, plant, laboratory or documentation contexts.",The test tube should be recorded in the operating log.,deney tüpü işletme kayıt defterine kaydedilmelidir.,chemical
flask,erlen / balon,"A chemical engineering term meaning erlen / balon, used in process, plant, laboratory or documentation contexts.",The flask should be ready before start-up.,Devreye alma öncesinde erlen / balon hazır olmalıdır.,chemical
burette,büret,"A chemical engineering term meaning büret, used in process, plant, laboratory or documentation contexts.",Please check the burette before the next inspection.,Lütfen bir sonraki muayeneden önce büret kontrol edin.,chemical
chromatography,kromatografi,"A chemical engineering term meaning kromatografi, used in process, plant, laboratory or documentation contexts.",The process engineer verified the chromatography during the plant walkdown.,Proses mühendisi saha kontrolü sırasında kromatografi doğruladı.,chemical
spectroscopy,spektroskopi,"A chemical engineering term meaning spektroskopi, used in process, plant, laboratory or documentation contexts.",The spectroscopy must be confirmed before the process continues.,Prosese devam etmeden önce spektroskopi teyit edilmelidir.,chemical
gas chromatography,gaz kromatografisi,"A chemical engineering term meaning gaz kromatografisi, used in process, plant, laboratory or documentation contexts.",The gas chromatography should be recorded in the operating log.,gaz kromatografisi işletme kayıt defterine kaydedilmelidir.,chemical
